trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.10900000000000001, 'e': 0.9900498337491681}",30,0,-280.59805849339466,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 5}",0
2,False,"{'a': 0.11791000000000001, 'e': 0.9793168913621746}",20,0,-6.3272855898568485,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.1267309, 'e': 0.9678375751994777}",20,0,-110.87157397753158,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.135463591, 'e': 0.9556494760664934}",20,0,-50.35637289658743,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.14410895509, 'e': 0.9427911931767808}",25,0,-133.96777484645023,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.1526678655391, 'e': 0.9293021558017879}",30,0,-163.93849749886652,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 2}",0
7,False,"{'a': 0.161141186883709, 'e': 0.9152224475629549}",20,0,-56.53061561459213,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.1695297750148719, 'e': 0.9005926342599255}",25,0,-200.86716661937336,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",0
9,False,"{'a': 0.17783447726472318, 'e': 0.8854535960628621}",20,0,-38.20586091961853,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.18605613249207595, 'e': 0.8698463648281923}",25,7,-94.48981381248487,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
11,False,"{'a': 0.1941955711671552, 'e': 0.8538119672262745}",30,0,-26.126173587251166,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.20225361545548365, 'e': 0.8373912742972076}",30,0,-152.61775452600955,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.21023107930092882, 'e': 0.820624857978025}",20,8,-49.652380059329694,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.21812876850791954, 'e': 0.8035528550714598}",20,0,-14.691286448067034,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.22594748082284036, 'e': 0.7862148390539871}",25,0,-89.57593205560143,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
16,False,"{'a': 0.23368800601461195, 'e': 0.7686497000494982}",25,9,-70.57907030381232,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.24135112595446584, 'e': 0.7508955332252818}",35,0,-178.4546410108145,"{0: 21, 1: 3, 2: 7, 3: 2, 4: 2}",0
18,False,"{'a': 0.24893761469492118, 'e': 0.7329895357994561}",20,0,-83.43225527624398,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.25644823854797194, 'e': 0.7149679127840258}",30,4,-112.11235042119917,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 1}",1
20,False,"{'a': 0.2638837561624922, 'e': 0.6968657915257229}",30,10,-41.342537939637445,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
21,False,"{'a': 0.2712449186008673, 'e': 0.6787171450480326}",30,2,-82.79283341932192,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 1}",1
22,False,"{'a': 0.27853246941485865, 'e': 0.6605547241425841}",20,2,-18.40068626328249,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.28574714472071006, 'e': 0.6424099981066175}",20,0,-52.97010441125066,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.29288967327350296, 'e': 0.6243131039756862}",25,0,-8.0196525325349,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.2999607765407679, 'e': 0.6062928040572482}",20,0,-156.09495272883916,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
26,False,"{'a': 0.3069611687753602, 'e': 0.5883764515314073}",20,3,15.88349909117296,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.31389155708760663, 'e': 0.570589963849828}",30,7,-18.404185459292,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.32075264151673055, 'e': 0.5529578036327578}",35,6,-53.358232684179946,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 1}",1
29,False,"{'a': 0.32754511510156326, 'e': 0.5355029667371046}",20,6,-18.839972273301775,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
30,False,"{'a': 0.33426966395054764, 'e': 0.5182469771455618}",30,6,-70.88531880172467,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 1}",1
31,False,"{'a': 0.34092696731104216, 'e': 0.5012098883077505}",35,21,-19.886240153549622,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.3475176976379317, 'e': 0.48441029054911533}",25,3,-66.83582834971313,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 1}",1
33,False,"{'a': 0.3540425206615524, 'e': 0.46786532415172577}",25,7,5.7645862495445215,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.3605020954549369, 'e': 0.4515906977030172}",20,0,-21.864963066937683,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
35,False,"{'a': 0.3668970745003875, 'e': 0.43560071130367195}",20,10,-25.08666308054218,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
36,False,"{'a': 0.3732281037553836, 'e': 0.419908284224081}",20,7,12.625033977766972,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.3794958227178298, 'e': 0.40452498659993286}",20,14,2.699703451008631,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.3857008644906515, 'e': 0.38946107476122643}",30,11,-33.954890979144835,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.391843855845745, 'e': 0.37472552979517093}",20,0,-34.353518218204506,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
40,False,"{'a': 0.39792541728728753, 'e': 0.36032609895179324}",25,6,-14.068162686755429,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
41,False,"{'a': 0.40394616311441467, 'e': 0.34626933951139083}",30,16,20.087730828597813,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.4099067014832705, 'e': 0.3325606647450246}",20,5,-2.6146492911341,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.4158076344684378, 'e': 0.319204391612813}",20,13,14.125393415414093,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.42164955812375343, 'e': 0.30620378985965563}",35,21,2.7530992952627633,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.4274330625425159, 'e': 0.29356113218396945}",25,14,5.770715132643765,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.43315873191709076, 'e': 0.28127774517186277}",20,13,11.667587221871331,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.4388271445979198, 'e': 0.2693540607067106}",25,14,17.42598853763104,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.44443887315194064, 'e': 0.2577896675821495}",20,6,-19.984416738690566,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.4499944844204212, 'e': 0.24658336306490847}",20,11,12.13270685153811,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.455494539576217, 'e': 0.23573320417247834}",20,11,16.518068164119562,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.4609395941804548, 'e': 0.2252365584492491}",20,12,3.5518101857979363,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.4663301982386503, 'e': 0.21509015404327553}",20,6,5.135002163905547,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.4716668962562638, 'e': 0.20529012890414808}",35,15,7.62766328562277,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.4769502272937012, 'e': 0.1958320789404357}",30,19,-23.828693542394156,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.48218072502076414, 'e': 0.186711104992732}",30,15,-85.79707363668099,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
56,False,"{'a': 0.4873589177705565, 'e': 0.17792185849539274}",30,22,16.013319299339248,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.49248532859285093, 'e': 0.16945858571652175}",25,19,11.704210368773708,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.49756047530692243, 'e': 0.1613151704815853}",20,16,8.064817336615075,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5025848705538533, 'e': 0.15348517530115435}",20,5,-0.864740747636519,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5075590218483147, 'e': 0.1459618808376496}",20,7,11.785291241226284,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5124834316298316, 'e': 0.1387383236595616}",30,18,19.53998215580857,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5173585973135333, 'e': 0.13180733224441107}",20,8,12.626896077998893,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.522185011340398, 'e': 0.12516156120368985}",30,23,12.113644007773859,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5269631612269939, 'e': 0.11879352371416668}",20,9,3.963303721947457,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.531693529614724, 'e': 0.11269562215025823}",25,20,10.40565461227574,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
