trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.28749673101255,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,10,-7.136645598561405,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-43.68771232961449,"{0: 20, 1: 7, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.50668305876627,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.42946691399084,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-294.3199151548731,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 6}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.6065876174441,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-174.06845573020667,"{0: 21, 1: 6, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-235.78569272210262,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.70725041079824,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.07643302107604,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-214.27767583458436,"{0: 19, 1: 6, 2: 6, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.22402834875379,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.435941605127574,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.15111192258715,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,12,-70.15097090915147,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-286.9597296689244,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.07131496734773,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.07996840634192,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.3805751643414,"{0: 11, 1: 6, 2: 8, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-75.48010901419667,"{0: 22, 1: 5, 2: 8, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.65888655390516,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.2563290125002,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-275.02109392767363,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.21946697780038,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,7,-143.32432074712787,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-15.327028911871777,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-135.4764731699714,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.17653773561057,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-46.4147833300618,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
