trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.10900000000000001, 'e': 0.9900498337491681}",25,0,-97.92769714561598,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.11791000000000001, 'e': 0.9793168913621746}",20,0,-17.083754497291935,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.1267309, 'e': 0.9678375751994777}",25,13,-14.338508317134368,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.135463591, 'e': 0.9556494760664934}",25,10,-28.836716868739614,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.14410895509, 'e': 0.9427911931767808}",25,0,-83.99930702593346,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.1526678655391, 'e': 0.9293021558017879}",25,0,-114.42074620246214,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.161141186883709, 'e': 0.9152224475629549}",20,0,-165.78277541167353,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.1695297750148719, 'e': 0.9005926342599255}",25,3,-237.43788988263134,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 5}",1
9,False,"{'a': 0.17783447726472318, 'e': 0.8854535960628621}",20,0,-150.45673281478673,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.18605613249207595, 'e': 0.8698463648281923}",25,0,-166.86722328704178,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.1941955711671552, 'e': 0.8538119672262745}",20,0,-89.12494045341552,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.20225361545548365, 'e': 0.8373912742972076}",20,15,-3.163932750911897,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.21023107930092882, 'e': 0.820624857978025}",25,0,-43.48796121261751,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.21812876850791954, 'e': 0.8035528550714598}",20,0,-41.98135361282762,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.22594748082284036, 'e': 0.7862148390539871}",25,0,-157.48063159401553,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.23368800601461195, 'e': 0.7686497000494982}",20,2,-96.85860092241276,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.24135112595446584, 'e': 0.7508955332252818}",20,16,7.286324555703345,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.24893761469492118, 'e': 0.7329895357994561}",25,5,-26.227711051151175,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.25644823854797194, 'e': 0.7149679127840258}",35,13,18.752880751491915,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.2638837561624922, 'e': 0.6968657915257229}",30,0,-25.578035427311008,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.2712449186008673, 'e': 0.6787171450480326}",20,12,0.22852979546970698,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.27853246941485865, 'e': 0.6605547241425841}",20,7,-11.823798362239856,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.28574714472071006, 'e': 0.6424099981066175}",25,0,-38.894525858934415,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.29288967327350296, 'e': 0.6243131039756862}",35,0,-85.08207496468397,"{0: 28, 1: 2, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.2999607765407679, 'e': 0.6062928040572482}",20,8,-7.260127344963939,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.3069611687753602, 'e': 0.5883764515314073}",20,3,-62.735480351446995,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
27,False,"{'a': 0.31389155708760663, 'e': 0.570589963849828}",25,18,-0.284825919419595,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.32075264151673055, 'e': 0.5529578036327578}",20,13,3.7454610021615466,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
